neighbourhood,neighbourhood_cleansed,has_availability,first_review,instant_bookable
0,Buttes-Montmartre,t,2012-06-16,f
0,Reuilly,t,2012-06-11,f
"Paris, Île-de-France, France",Buttes-Montmartre,t,2013-04-08,t
0,Observatoire,t,2017-07-22,f
0,Entrepôt,t,2013-07-10,f
0,Popincourt,t,2018-07-16,f
0,Temple,t,2016-11-05,f
0,Popincourt,t,0,t
0,Ménilmontant,t,2013-03-18,f
"Paris, Île-de-France, France",Entrepôt,t,2012-07-21,f
"Paris, Île-de-France, France",Temple,t,2012-05-15,f
0,Entrepôt,t,2013-06-26,t
"Paris, Île-de-France, France",Bourse,t,2012-04-12,f
0,Panthéon,t,2018-05-31,f
0,Ménilmontant,t,2012-07-31,f
0,Reuilly,t,2012-09-26,f
"Paris, Île-de-France, France",Ménilmontant,t,2012-04-30,f
0,Popincourt,t,2012-04-07,f
0,Hôtel-de-Ville,t,2012-05-07,f
0,Batignolles-Monceau,t,0,f
0,Reuilly,t,2013-08-26,f
"Paris, Île-de-France, France",Bourse,t,2012-10-17,f
"Paris, Île-de-France, France",Bourse,t,2012-05-22,f
0,Entrepôt,f,2012-07-09,f
"Paris, Île-de-France, France",Buttes-Montmartre,t,2012-05-19,f
"Paris, Île-de-France, France",Hôtel-de-Ville,t,2016-08-15,t
0,Entrepôt,t,2012-06-23,f
"Paris, Île-de-France, France",Ménilmontant,t,2012-04-12,f
0,Buttes-Chaumont,t,2012-05-02,f
0,Buttes-Montmartre,t,2014-06-23,f
0,Ménilmontant,t,2019-07-01,f
0,Popincourt,t,2012-09-18,t
0,Panthéon,t,2013-01-08,f
0,Popincourt,t,2012-05-21,f
0,Luxembourg,t,2012-06-12,f
"Paris, Île-de-France, France",Buttes-Montmartre,t,2017-08-31,f
0,Luxembourg,t,2012-04-19,f
0,Hôtel-de-Ville,t,2012-04-13,f
"Paris, Île-de-France, France",Buttes-Montmartre,t,2013-08-13,t
"Paris, Île-de-France, France",Reuilly,t,2018-06-16,f
0,Buttes-Montmartre,t,2012-06-04,f
"Paris, Île-de-France, France",Buttes-Chaumont,t,2012-05-20,f
"Paris, Île-de-France, France",Popincourt,t,2012-05-28,f
0,Temple,t,2012-04-26,f
0,Entrepôt,t,2012-07-05,f
0,Buttes-Chaumont,t,2012-08-04,f
0,Temple,t,2012-06-16,f
0,Hôtel-de-Ville,t,2012-09-30,f
"Paris, Île-de-France, France",Buttes-Montmartre,t,2012-09-25,f
"Paris, Île-de-France, France",Opéra,t,2012-05-07,f
"Paris, Île-de-France, France",Reuilly,t,2012-07-15,f
"Paris, Île-de-France, France",Buttes-Montmartre,t,2012-05-30,f
0,Gobelins,t,2012-06-05,t
0,Temple,t,2012-04-28,f
0,Reuilly,t,2012-07-05,f
"Paris, Île-de-France, France",Palais-Bourbon,t,2012-06-20,f
0,Ménilmontant,t,2012-05-25,f
"Paris, Île-de-France, France",Batignolles-Monceau,t,2012-06-22,f
"Paris, Île-de-France, France",Palais-Bourbon,t,2012-07-21,f
0,Buttes-Montmartre,t,2015-04-14,f
0,Palais-Bourbon,t,2012-06-13,f
0,Popincourt,t,2012-07-09,f
0,Observatoire,t,2012-04-28,f
"Paris, Île-de-France, France",Temple,t,2012-05-24,f
0,Buttes-Montmartre,t,2012-05-18,f
0,Popincourt,t,2012-05-31,f
0,Buttes-Chaumont,t,2012-07-09,f
0,Passy,t,2012-06-19,f
0,Palais-Bourbon,t,2012-06-17,f
0,Popincourt,t,2012-05-05,t
"Paris, Île-de-France, France",Reuilly,t,2012-05-19,f
"Paris, Île-de-France, France",Louvre,t,2012-05-14,f
0,Popincourt,t,2012-10-22,f
"Paris, Île-de-France, France",Entrepôt,t,2012-05-25,f
0,Ménilmontant,t,2012-12-31,f
